User talk:71.10.25.100                            08623735Added welcome template to user talk page. u
2008–09 Conference League Cup                   08569929/* Southern Section */
User talk:64.230.24.149                           08547692Message re. [[Turtle]] ([[WP:HG|HG]])
User talk:222.124.55.76                           08474476Added welcome template to user talk page.
Outline of Georgia (U.S. state) history           08461879{{double image|right|Flag
Nursing                                           08403271remove advertising
Wildland fire emissions                           08365403Date the maintenance tags or general  fixe
Whitey on The Moon                                08242240moved [[Whitey on The Moon]] to [[Whitey on the
File:Kelly Osbourne - Shut Up.jpg                 08174285"{{album cover fur
|Article = Shut Up (Kelly Osbourne album)         08174285"{{album cover fur
|Use = Infobox                                    08174285"{{album cover fur
|Name = ""Shut Up""                               08174285"{{album cover fur
|Artist = Kelly Osbourne                          08174285"{{album cover fur
|Label = Epic Records                             08174285"{{album cover fur
|Source = Derived from a digital capture of the al08174285"{{album cover fur
Joe Jonas                                         08120823/* Personal life */
Give Me Danger (song)                             08014372"Fixing release date
Roshell Bissett                                   07942141altered the position of the reference line
Harry Peckham                                     07837739"/* Biography */ John Sackville
User talk:128.8.186.121                           07813624"{{sharedipedu|[http://www.umd.edu Univers
WALL-E (soundtrack)                               07808548null
User:Seemsclose/Van Resistance                    07755722"/* Evacuation of the region
Wikipedia:Version 1.0 Editorial Team/Indian cinema00000001"/* Evacuation of the region
Collectivization in the Ukrainian Soviet Socialist07652562[[WP:U
Friedrich Rittelmeyer                             07637436Add references section and/or general fixes.
Talk:ExxonMobil violations in Indonesia           07540881moved [[Talk:ExxonMobil in
Genghis Khan                                      07414699/* In China */
Liver                                             07384301/* Lobes */
Jermaine Dupri production discography             07368821null
Wikipedia:Version 1.0 Editorial Team/Sexuality art00172910null
Template:Shooting WR DT150 Men Qualification      07276240Units/dates/other usi
User:Carnildo/redirect-to-sandbox                 07239473[[WP:AES|←]]Redirected page to
Guatemala                                         07238567/* Demographics */
The Straitjacket Lottery                          07216587null
Yushu County                                      07215832Robot: tagging uncategorised page
Friendship                                        07157119/* Cultural variations */
User talk:Download                                07135320Reverted 1 edit by [[Special:Contributions/You
I Need a Man                                      07118591moved [[I Need a Man]] to [[I Need a Man (Eurythmics
List of Soul Eater chapters                       07045487/* Chapters to be collected into volum
Ajantha Mendis                                    06962266null
User talk:67.42.84.10                             06937678Caution: Vandalism on [[Podracing]]. ([[WP:T
Category:Unassessed Cleveland Cavaliers articles  06796719#NAME?
Template talk:World's most populous metropolitan a06742036null
Wikipedia:Articles for deletion/Odette Krempin    06690526"Protected Wikipedi
Zvonimir Ciglič                                  06681530to be translated from slovenian wiki
DVD releases of Kath & Kim                        06673127Unlinking full-dates. [[User:Full-date
Wikipedia:Articles for deletion/Anthrosexual      06647839Substituted a transcl
Adam Kirsch                                       06619152Link [[New_Formalism]]
Portal:Pennsylvania/Featured content              06608664added Jim Thorpe
Lord Francis Douglas                              06524768/* Early life */ more apt style
Talk:The Niagara Falls Museum                     06381783assess for WP Museums
User talk:Sasata                                  06336564/* DYK for Cookeina */ reply
Wikipedia:Sandbox                                 06283969null
Wikipedia:Sandbox                                 06283969null
User:OlenWhitaker                                 06283657Reformat
Erotas (Season 2)                                 06196594BOT - Sorting redirects
"Gaz                                              0000000016181159
User talk:Toddst1                                 06120557/* eh */ new section
Saint-Cyr-au-Mont-d'Or                            06036092[[WP:AES|←]]Created page with '{{Communef
User:VeblenBot/C/Current peer reviews             05991764automatic update
Tri-County Community College                      05858391Adding geodata: {{coord missing|Unite
Kontour                                           05717980added a link
Supermarine Spitfire operational history          05630676"Added Clarify tag to ""i
"Saint-Georges-du-Bois                            0000000015503070
Wikipedia:WikiProject Military history/Coordinator0000015415503070
Trinidad and Tobago passport                      05304056/* Central and South America */
Portal:Southeast Asia/2008 January 13             05189616"[[WP:AES|←]]Created page
Colin Delaney                                     05146155[[WP:UNDO|Undid]] revision 249484447 by [[Special:Co
Wikipedia:Articles for deletion/Zillah Bell Contem05066607Notif
User talk:Chris oss                               04993080this is about christian oss how he became life
Serbia in the Eurovision Song Contest 2008        04977244{{Refimprove|date=Septe
Digital television in Guatemala                   04969256#NAME?
Aris FC                                           04905195[[WP:AES|←]]Blanked the page
Steven Klein                                      04889597"clean up
LYAR                                              04878214Citation maintenance. You can [[WP:DOI|use this bot]] yoursel
User talk:Berean Hunter                           04758644/* User:Tohd8BohaithuGh1 and huggle (don't
Pieter Van Buskirk                                04752435Unlinking full-dates. [[User:Full-date unlinkin
Killing babies                                    04749003Robot: Fixing double redirect
User talk:66.229.110.215                          04576787Message re. [[Dave Trembley]]
Batala (music)                                    04573271null
List of wars involving Greece                     04562375Category:Greece-related lists|Wars]]
Category talk:American athlete-politicians        04541155[[Wikipedia:Categories
Sarah Austin                                      04514689/* Pop17 */
Charice Pempengco                                 04382613"Reverted to previous version as edited by Jtall
Meola Creek                                       04256522"fix ""comprised of"""
User talk:64.39.113.185                           04232023null
CD Aurrerá de Vitoria                            04179867null
Wikipedia:Version 1.0 Editorial Team/Literature ar01417604null
Talk:Arizona Science Center                       04090708"[[WP:AES|←]]Created page with '  ==
Farrar (surname)                                  04080448rem nn
Under Satanæ                                     04034621/* External links */
User talk:65england                               04008525welcome
Bluebelt                                          04001865null
Goosebumps HorrorLand                             03935781/* #7 - My Friends Call Me Monster */
User:Cyde/List of candidates for speedy deletion/S03784401Robot: Li
List of characters in the Pokémon anime series   03763276/* Misty */
Seventh-day Adventist interfaith relations        03755595"/* Other religions */
Adelsverein                                       03734330underconstruction
Wikipedia:WikiProject Australia/Maintenance       03707432Updating count per [[U
User:Tcisco/United States gravity control propulsi03580807/*
User talk:JOHN C. SNEDEKER                        03466539Robot - Removing category WelcomeBotRes
IvanAnywhere                                      03458909added an external link
Fred Biddlestone                                  03436321formatting
User talk:Converse1979                            03411087[[WP:AES|←]]Created page with '{{subst:we
Wikipedia:Articles for creation/2007-09-23        03395079/* Ekram Ali (1950) is
User talk:Altairisfar                             03326262/* Notability of schools */ re
Wikipedia talk:Notability                         03313193/* De Facto Policies and Erroneous Logic
User talk:Blanchardb                              03236335/* Charlie Austin */ new section
The Host (novel)                                  03116455/* Potential sequels */
Talk:Antimachus (disambiguation)                  03100601"Articles with ""Biography stubs"
List of Saturday Night Live episodes              03094674/* Season 34 */
Template:Geobox location New Mexico               03081825moved [[Template:Geobox locati
Zybian                                            02923696[[WP:AES|←]]Redirected page to [[Bupropion]]
User:MikeVitale/Userboxes-Sports                  02894796I'm a UT alum.  Hook 'em.
Internet in Spain                                 02838176null
List of current champions in World Wrestling Enter02767523null
Whitehead Women's Pairs                           02746198First entry
Indonesians in Japan                              02720433/* Further reading */
Windermere Park                                   02637485redirect
User talk:Brainuse                                02604159General note: Vandalism on [[KFC]]. using [[WP:
User talk:ImageRemovalBot/log                     02587194Logging warning message
User:Joseph A. Spadaro/Sandbox/Page01             02515855/* Index of Articles: */
Appropriation Act 1826                            02497567[[WP:AES|←]]Redirected page to [[Appropri
Yellow-throated Honeyeater                        02460204"/* Breeding */ more info
Suicide of Vince Foster                           02439461/* See also */ leave directly discussed ar
Talk:Hirasea major                                02326553assessment for Project Gastropods
Hentern                                           02309438robot  Adding: [[ro:Hentern]]
Environmental Science & Technology                02232719stub
2008 AFC U-16 Championship                        02186051/* Group B */
User talk:71.169.47.25                            02094163Warning: Vandalism on [[Still Tippin']]. us
William Henry Furness                             02064187Add [[Category:People associated with Transc
Talk:Number Please                                01941421assessed
Disputatio nova contra mulieres                   01895880[[WP:UNDO|Undid]] revision 1737591
110 Livingston Street                             01884874/* External links */
Chiefs–Raiders rivalry                          01840325/* 1980's */
Wikipedia:Version 1.0 Editorial Team/Biography art00001179/* 1980's */
History of video game consoles (seventh generation01762000/* Worldwide s
Broken Bow Records                                01687342/* Previous Broken Bow artists */
Miles & Quincy Live at Montreux                   01674172Updating infobox
Digital potentiometer                             01630215null
Wikipedia talk:Requests for mediation/Mahmoud Ahma01521761/* Motio
User:Chrisjnelson/Sandbox                         01516573null
1973 New York Yankees season                      01487311rm deleted image
Wikipedia:Reliable sources/Noticeboard            01424955/* NY Times Survey as Relia
Enteroviral 3' UTR element                        01420789Rfambot updates release 9.1
Anette Olzon                                      01394363null
User:Midgrid/Awards                               01362274upgrade to veteran editor
Talk:Yellow-rumped Honeyguide                     01315022Low
Markersdorf-Haindorf                              01259680robot Adding: [[pt:Markersdorf-Haindorf]]
Susan Antilla                                     01243446nyt review
Template:Venezuela-politician-stub                01242294New template. Created per WP:WS
CS Otopeni                                        01241848robot  Adding: [[ru:Отопени (футбольны�
Wikipedia:Usernames for administrator attention/Bo01238105/* Bot-reporte
Survivor: Micronesia                              01220799/* The game */ The footnote covers two boxes
Wikipedia:WikiProject Biography/Peer review/Gwen S01146855/* [[Gwen
User:VeblenBot/PERtable                           01129092automatic update (5 requests)
Talk:World Chess Championship 1963                01095704/* Stein */
Methamphetamine                                   01038318/* Pharmacology */
User:Trident13/TFR                                01034379null
Wikipedia:Usernames for administrator attention   01022716Reporting [[Specia
Wikipedia:Usernames for administrator attention   01022716Reporting [[Specia
Wikipedia:Usernames for administrator attention   010227169 users left. rm [
Wikipedia:Tutorial (Editing)/sandbox              01005908Clearing sandboxes. (bot)
File:TNA Wrestling.JPG                            00972058uploaded a new version of &quot;[[File:TNA
Talk:Chicago Coalition Against War & Racism       00925622rated
Harry W. Lange                                    00854090fmt headline ([[Wikipedia:WikiProject Check Wikiped
Talk:Laudabiliter                                 00811501/* Lnk to Wikisource */ reply
User talk:Paul Elliot Lee                         00747588welcome and nn-warn
User:Selfworm/FoundX                              00654320moved [[User:Selfworm/FoundX]] to [[User:Self
User talk:Mahanga/archive7                        00651667/* Need some help */
Wikipedia:Version 1.0 Editorial Team/Alabama artic00651667/* Need some help */
Kenwood Towne Centre                              00583412dab
Fife and Forfar Yeomanry/Scottish Horse           00558410null
Talk:Gary Weiss                                   00542381cleanup
Margareta Bengtson                                00486737/* Release of first Solo Album */ cat
Luis de Carabajal y Cueva                         00466967Expanded
1991–92 Vancouver Canucks season                00432841/* [[Kirk McLean]] */
Wikipedia:Editor assistance/Requests              00412416/* 33 (Battlestar Galactica)
University of Missouri Research Reactor Center    00400448Units/dates/other
User talk:Cpvolvo                                 00392062BOT - [[WP:SUBST|Template substitution]]
Talk:Sanjaya Malakar                              00335202null
User talk:HowardMorland                           00316258Replying from new contributors' help desk
Carolinas-Virginia Tube Reactor                   00257908"Added a more detailed physical lo
User talk:Guitaristlcpl                           00212645rmv help me by blocked user
Talk:The Living Dead (television documentary serie00160918"/* Removal o
Sinestro Corps                                    00146373/* Members */
Lice Capades                                      00133965/* Trivia */
Darren Edwards                                    00089078revert vandalism
Lyme disease microbiology                         00085290/* See Also */
List of world records in swimming                 00076226null
Wikipedia:WikiProject Spam/LinkSearch/bravenet.com00007443website *
User:Bwe45                                        09883250null
User talk:Jimbo Wales                             09870625[[Help:Reverting|Reverted]] edits by [[Specia
User talk:Jimbo Wales                             09870625/* Regarding our discussion on this page a fe
Template:Tyrosine kinases                         09870236#NAME?
Talk:Cullen Bailey                                09827840[[User:SatyrBot|SatyrBot]] adding [[WP:AUS]] Wik
User:Sapphic                                      09818599Replacing [[Image:Barnstar-rotating.gif]] with [[Image
Talk:Essjay controversy                           09803346/* Appointment to ArbCom */ previous thread
Blackout (alcohol-related amnesia)                09660402fixed references code
Wikipedia:Articles for deletion/Al Gore III (6th n09610182/* [[A
Talk:Paytakaran                                   09594286/* 2a - 2d */
Nascar 08                                         09555120Do not need Nascar 08 title twice
Melinda Doolittle                                 09549764null
Talk:List of Madrid metro stations                09535951SatyrBot auto-adding tag to talk
Midget (band)                                     09513598Links included
User talk:Cheeser1                                09258313-
Ulmus macrocarpa var. macrocarpa                  09204883Removed taxobox colour. See [[User
User:Red Act                                      09091858[[WP:AES|←]]Blanked the page
2011 and beyond in film                           09050777/* October – December */
User talk:67.160.129.206                          09012798/* Regarding edits made 27 February 2007 t
Proportional reduction in loss                    09006975/* References */  I've added two ref
Santiago Martínez Delgado                        08886953null
TimeSplitters                                     08639952null
Bella Swan                                        08618444/* Twilight */
Morne Morkel                                      08612014null
User talk:74.92.1.189                             08499115last warning
Patricio Pouchulu                                 08459049/* External Links / Sources */
User talk:Fainites                                08373790/* Violation of three Reverts Rule */
Minutes to Midnight (album)                       08364390/* Track listing */
Qalander Ba Ba Auliya                             08329761null
Template:The Flintstones                          08287795null
David C. Lewis                                    08260146null
FC Tranzīts                                      08246830/* First-team squad */
Talk:Thief Valley Reservoir                       08227806+{{WikiProject Oregon}}
West Yorkshire Road Car Company                   08225264"Quick-adding category ""Companies
List of crime films                               08174654/* 1944 */ dab
Customs and Excise Department                     08146729Merge into [[Customs and Excise]].
Eleanor de Bohun                                  08140242null
Rowing at the 2006 Asian Games                    08136840robot Adding: [[sl:Veslanje na Azijs
Wikipedia:WikiProject Boston                      07994492null
User talk:Daniel/Archive/15                       07979120Switch to new format per Daniel
BucConeer                                         07973571Redirecting to [[56th World Science Fiction Convention]]
Hurricane Cindy (1963)                            07967037null
Talk:Battle of Saint John's Bluff                 07915417null
File:Google Scilly.jpg                            07904145Removed [[Template:di-orphaned fair use]]. F
User talk:HokieRNB                                07855996/* RE: England is a country */ - Oh no it isn't!
Talk:Barack Obama                                 07777393/* Place of Birth */
User talk:John                                    07750197null
Guam Highway 1                                    07709715external link
Sonam Kapoor                                      07670257null
Keep It to Yourself (song)                        07646206/* Trivia */  capitalisation of Vex Red
Mike Lum                                          07643263null
Talk:Tête-à-la-Baleine Airport                  07633819Adding {{AirportProject}}  using [
IAAF World Youth Championships in Athletics       07546287/* IAAF World Youth Cha
Talk:Sephora                                      07516607agreed
Andy Gray (footballer born 1964)                  07460953null
Villa Dálmine                                    07456746Lge Pos
User:Amarkov/pokeinfoboxwork                      07374517hope this works
The Lord of the Rings (symphony)                  07373349Date/fix the maintenance tags  usi
Talk:Srebrenica massacre/Archive 7                07361773archive
File:94X logo.png                                 07326624"Robot - Renaming non-free template ""Radiologo""
My Opera                                          07293020formatting
Wünnewil-Flamatt                                 07228977interwikis:  adding: es
National Library of Maldives                      07204763Standard headings &/or gen fixes.  usi
Virus (1980 film)                                 07055037null
User talk:132.10.250.80                           07047982Warning [[Special:Contributions/132.10.250.
Talk:Hippocrates/to do                            06987988update
Economic impact of immigration to Canada          06943279/* Per capita income */
Nicole Scherzinger                                06803715null
RPG Maker                                         06769926sortable table/* RPG Maker series timeline */
Viktoras Kulvinskas                               06759524/* Trainer & Educator */
Pozzaglia Sabina                                  06753577robot  Adding: [[vi:Pozzaglia Sabina]]
Talk:Sebastián Viera                             06619323Tagging for WikiProject Uruguay
S. K. Roongta                                     06613439null
Talk:Lauren Laverne                               06607593Trivia section
The One Where the Stripper Cries                  06588746/* Production */ sp
JIMENA                                            06587074Date the maintenance tags or general  fixes
Belfast Harlequins                                06232617Reverted edits by [[Special:Contributions/124.18
Gairy St. Clair                                   06203947"Removing backlinks to List of male boxers because
Talk:Cityplace (Winnipeg)                         06147237null
Port Macdonnell                                   06140357redirect to std name and capitallisation
Mike Reid (American football)                     06133844tag for refimprove
Kane & Lynch: Dead Men                            06113359null
Edna Wallace                                      06100561/* External link */
User talk:139.86.2.15                             06052772Message re. [[Assertiveness]] ([[WP:HG|HG]])
Template:2006 Lebanon War                         06032303rescope to [[2006 Israel-Lebanon conflict
"Elmwood Cemetery (Detroit                        000000006024963
Talk:Prince Ludwig of Bavaria (b.1982)            05980596null
"European Parliament election                     000020095966954
User talk:Javierbaires1                           05959001/* Adoption */
"Mount Tabor                                      000000005899134
Talk:Kingdom of God                               05890464/* basileia */ original to Jesus?
Prince of Persia: The Sands of Time (film)        05866831/* Premise */
Poolampatti                                       05806711robot Adding: [[it:Poolampatti]]
Secret Lovers                                     05800522added a category and a couple of wiki-links
Nicholas Shehadie                                 05785132/* Business and public life */
Mat Hoffman's Pro BMX                             05777983null
Talk:European anchovy                             05731229|class = start
Live food                                         05709360Date/fix the maintenance tags or gen fixes  using [[Proje
"Talk:Camp Swift                                  000000005688315
Television in Pakistan                            05685039/* Slogans */
The Principal                                     05637772Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:
Wikipedia:Version 1.0 Editorial Team/Film articles05621785"U
Daisy Eagan                                       05605265[[WP:AES|←]]Undid revision 114451834 by [[Special:Con
Ethernet physical layer                           05559175/* Ethernet Minimum Cable Lengths */
Talk:Administrative division of the Polish–Lithu00553362/* Ethernet Minimum Cable Lengths */
Tony Hoagland                                     05529963null
User talk:Dvori                                   05519164rmv helpme tag
Saw (franchise)                                   05515121/* The Ride */
Talk:Glaceon                                      05440883Pokémon Collaborative Project  using [[Wikipedia:Auto
Chips (dog)                                       05350187Stub-sorting. [[Wikipedia:WikiProject Stub sorting|You
Lynn Emanuel                                      05336410null
Cavalcade of Glee and Dadaist Happy Hardcore Pom P05318309removed resid
User talk:Danianjan                               05300969/* Shiv Sena */
Differences between Spanish and Portuguese        05274089"/* ""Todo"" and ""tudo"
Talk:Škoda Works                                 05271089noting [[:Image:Skoda Holding logo.png]] is about
User:FangzofBlood                                 05196993null
User:SKShahzad                                    05189703/* '''Syed Khurram Shahzad Kazmi''' */
Franco Pellizotti                                 05171086robot Adding: [[sr:Франко Пелицоти]
Nikolaus von Schönberg                           05170603delinked dates
Talk:Evolution                                    05157887"/* Gregor Mendel */ so
Wikipedia:Administrators' noticeboard/Incidents   05137507/* Spammed by [[Use
Wikipedia:Administrators' noticeboard/Incidents   05137507/* [[User:Doc glasg
Jessica Bird                                      05098127/* Black Dagger Brotherhood Series */
Elite Beat Agents                                 05097028null
Wikipedia                                         05043734null
War in Darfur                                     05043637rvv
Michael D Coe                                     04925453create rdir
Keith Lasley                                      04918676null
Baitullah Mehsud                                  04904242/* Background */Date maintenance tags and general
Chatha                                            04903151/* References */
File:Ph seal quezon lucena.png                    04892570Image template name correction per [
Corvinus Strain                                   04862860[[WP:UNDO|Undid]] revision 305571959 by [[Special:C
State Defense Guard (Czechoslovakia)              04834223Unlinking full-dates. [[User:F
User talk:66.46.159.180                           04810609/* January 2008 */ vandalism4 warning
BoA discography                                   04742961/* Singles */
Talk:Swept Away (2002 film)                       04741633null
Bituing Walang Ningning                           04719777/* Weekly Ratings (Mega Manila) */
Talk:Muhammad in Islam                            04702154null
Crystal ball                                      04631127null
CableOne                                          04605988[[WP:UNDO|Undid]] revision 173384811 by [[Special:Contribu
Talk:Friends of South Asia                        04596674/* Newstoday.net */
Lex Iulia de Ambitu                               04590065redirect
User talk:Meodipt                                 04574767{{subst:idw|Image:ETH-LAD.png}}
Cypress Bay High School                           04563092/* Student body */
Syd Heylen                                        04537480bot: Removing from Category:A Country Practice cast memb
Wikipedia:Featured article candidates/Cannabis (dr04529567"Sor
User talk:MelicansMatkin                          04513328/* 76.118.216.61 */ reply
Invasion of the Body Squeezers                    04511921null
Research Papers in Economics                      04510308/* Use RePEc */
User talk:Oxasaurusrex                            04498784You've uploaded an unsourced image
The Legend of Zelda: Phantom Hourglass            04491045null
Piranha Interactive Publishing                    04467334Morpheus wikification
Neurodegeneration                                 04464817null
User talk:TheDJ                                   04459835Notification: Speedy deletion nomination of [[User:
Fullmetal Alchemist 3: Kami o Tsugu Shōjo        04441404no citation means it jus
Prophet (disambiguation)                          04412295/* Others */ add newspaper
File:Dis s.jpg                                    04407750null
George Walton Comprehensive High School           04340738/* Non-traditional Fight So
Wikipedia:Categories for deletion/Log/2006 March 104336001/* [[:Category:
Portal:United States Marine Corps/Things you can d04330126removed 6th ESB
Wikipedia:Kindness Campaign/Participants          04320309/* J */  JuWiki
Glyn Davis                                        04307253Reverted edits by [[Special:Contributions/203.28.240.20|
Kaiser Broadcasting                               04304075"I'd hardly call 19 years ""short lived"""
User:Galactor213                                  04289693null
Reflections (A Retrospective)                     04194312bulleting external links  using [[Wik
Thomas Young (archbishop)                         04183233/* Life */ spelling as in Welsh Biography
Roseburg High School                              04179070Reverted edits by [[Special:Contributions/71.9
Damien Parer                                      04169126link to peleliu
List of Saiyans in Dragon Ball                    04159729Date/fix the maintenance tags
William Henry Bramble                             04158987/* Chief Minister */
Blackout (Britney Spears album)                   04132613null
User talk:80.195.190.88                           04131070bv
Harold Hunter                                     04126025/* Death */
Ward Churchill                                    04091662/* Books */
Inhaca                                            04082703/* [[Ecotourism]] */
List of Pure Pwnage episodes                      04079663"Copyedit
User:Mike Dillon/Scripts/cleanup.js               04046456null
"Ars longa                                        000000003923594
Bist du bei mir                                   03872449/* The Text */
Wikipedia talk:Proposed deletion                  03865224/* Policy needs tweaking */ it doe
Baylor Massacre                                   03820406about 135 forces total - quoted number is 125 men a
Lokomotiv Stadium (Moscow)                        03808989null
Arenas Club de Getxo                              03802118/* La Liga Season Records */
User:Rockumsockum                                 03794248"migrate {{Babel-X}} and related redirects to {{B
Talk:S-train                                      03679828A question
"Blle Mead                                        000000003671585
Marian Ilitch                                     03634216rm spam
Brave Story                                       03625394rephrase
María Ballesteros                                03623044Unsourced BLP
Derek Morris (ice hockey)                         03622144moved [[Derek Morris (hockey player)]] to
Abraham Zabludowsky                               03590015redirect
List of shopping malls in the Philippines         03587976/* Gaisano */
Bobby Byrne (baseball)                            03581179moved [[Bobby Byrne]] to [[Bobby Byrne (base
Mike Juhasz                                       03543257substub
Élie Halévy (Chalfan)                           03541277null
ICD-10 Chapter X: Diseases of the respiratory syst03528054/* (J09-19) In
Rich Whitney                                      03527632"Categorizing under ""1955 births"""
Dani Alves                                        03508785/* Teams */
Wikipedia:Articles for deletion/Showering French Y03504739/* [[Showering
Talk:Assyrian cuisine                             03493181null
Wikipedia:Today's featured article/October 2006   03491368null
History of Michigan State University              03454255/* Agriculture School */ copye
2005 National Scout Jamboree                      03445790/* Activities */
Unidad de Operaciones Especiales                  03443142null
Frances Bay                                       03434494removing [[:Category:Seinfeld cast members]] per [[Wiki
Dodge Polara                                      03404457"/* 1960-1962 */ More details of the 1960 model
Mansoor Khan                                      03367026dab
User talk:GregRog                                 03359069BOT - July 2006 Military Newsletter Delivery
Talk:Josh Freese                                  03357219discography section alphabetizing
Dorothy Macardle                                  03351102/* Biography */
Schmuck (surname)                                 03320566null
Tropical cyclone scales                           03306341/* Australia */
The Twins Effect II                               03299612Reverted edits by [[Special:Contributions/67.55
Talk:Nanaimo bar                                  03271420null
Oh No (musician)                                  03258105/* Biography */
